target,var1,var2,var3,var4,var5,var6,var7
0,509.180,417.681,Micronesia,138.000,393.000,no,2019-07-20 13:21:37
0,446.060,666.182,Dominica,81.000,352.050,yes,2019-04-04 21:30:46
1,235.500,398.097,Isle of Man,90.000,339.000,no,2019-03-03 02:59:37
0,306.020,518.163,Turkmenistan,102.000,439.250,yes,2019-03-19 08:00:58
0,453.080,600.156,Cameroon,105.000,422.950,no,2019-03-18 13:22:35
1,211.720,506.716,Liechtenstein,111.000,310.600,no,2019-03-18 13:00:12
0,401.420,627.294,French Guiana,78.000,390.050,no,2019-03-28 02:29:19
0,498.900,525.207,Barbados,129.000,408.750,yes,2019-06-07 05:41:16
1,257.900,651.209,Netherlands,147.000,280.200,no,2019-02-07 08:02:31
1,283.040,467.801,Chad,69.000,272.350,yes,2019-03-26 19:37:46
1,333.720,188.193,Algeria,90.000,289.300,yes,2019-07-08 17:14:01
0,440.160,703.248,Greenland,87.000,341.250,yes,2019-02-15 16:18:49
0,450.460,654.968,Dominica,114.000,412.900,no,2019-03-11 14:50:56
0,451.520,634.303,Armenia,75.000,338.550,no,2019-04-28 02:55:10
1,230.740,575.947,Equatorial Guinea,132.000,260.850,no,2019-02-24 06:17:18
0,461.860,612.276,Egypt,93.000,397.850,yes,2019-05-17 04:27:31
1,210.000,441.743,Austria,132.000,310.300,yes,2019-04-12 14:01:08
0,374.060,772.204,Equatorial Guinea,102.000,343.400,no,2019-07-15 09:42:19
1,231.820,498.228,Brunei Darussalam,99.000,257.900,yes,2019-04-24 13:46:10
0,398.580,541.062,Luxembourg,69.000,391.200,yes,2019-04-04 11:39:51
1,247.720,404.685,Grenada,138.000,223.600,no,2019-03-12 02:48:18
0,449.800,712.224,Belize,108.000,379.000,yes,2019-01-21 04:30:43
1,209.560,436.621,Brazil,126.000,297.950,no,2019-07-06 18:36:01
0,367.700,747.807,Jordan,93.000,350.200,no,2019-03-27 03:59:26
1,281.540,721.963,Mexico,114.000,271.850,yes,2019-06-25 18:17:53
0,340.260,549.524,United States of America,90.000,433.900,no,2019-02-18 23:08:59
1,299.580,467.373,Albania,102.000,183.650,no,2019-06-27 01:56:36
0,505.540,534.313,Argentina,87.000,346.750,no,2019-02-13 15:37:36
0,382.340,625.898,Saint Vincent and the Grenadines,135.000,440.200,no,2019-03-07 20:02:51
1,342.480,644.108,Eritrea,81.000,229.100,no,2019-02-10 20:43:38
1,215.120,488.674,Belarus,138.000,289.100,no,2019-04-06 14:16:52
0,373.960,485.372,Cyprus,63.000,379.200,yes,2019-02-07 07:41:06
1,301.580,432.419,Ethiopia,135.000,179.900,yes,2019-06-27 21:51:47
1,270.160,684.489,Taiwan,99.000,343.000,yes,2019-02-17 18:50:57
0,402.520,730.493,Guam,93.000,367.050,no,2019-01-16 08:01:40
0,466.080,633.944,Turkmenistan,108.000,406.050,yes,2019-01-02 09:30:11
1,258.020,356.848,Saudi Arabia,135.000,219.150,yes,2019-01-29 05:39:16
1,287.580,460.043,Bouvet Island (Bouvetoya),159.000,218.350,no,2019-07-21 21:16:35
0,470.020,608.795,Tanzania,117.000,417.000,yes,2019-04-07 01:57:38
1,241.800,373.452,South Africa,87.000,291.100,yes,2019-02-11 02:40:02
0,404.240,510.151,American Samoa,87.000,436.150,yes,2019-03-26 19:54:16
0,446.180,343.092,San Marino,159.000,406.100,no,2019-01-07 13:25:21
0,469.620,544.292,Brunei Darussalam,96.000,413.950,no,2019-02-24 10:36:43
1,400.440,515.102,Turks and Caicos Islands,96.000,176.650,yes,2019-06-05 22:11:34
