area,win_loss_ratio,pop
Atlanta,0.2926829268292683,5789700.0
Boston,0.6707317073170732,4794447.0
Charlotte,0.43902439024390244,2474314.0
Chicago,0.32926829268292684,9512999.0
Cleveland,0.6097560975609756,2055612.0
Dallas–Fort Worth,0.2926829268292683,7233323.0
Denver,0.5609756097560976,2853077.0
Detroit,0.47560975609756095,4297617.0
Houston,0.7926829268292683,6772470.0
Indianapolis,0.5853658536585366,2004230.0
Los Angeles,0.4695121951219512,13310447.0
Memphis,0.2682926829268293,1342842.0
Miami–Fort Lauderdale,0.5365853658536586,6066387.0
Milwaukee,0.5365853658536586,1572482.0
Minneapolis–Saint Paul,0.573170731707317,3551036.0
New Orleans,0.5853658536585366,1268883.0
New York City,0.3475609756097561,20153634.0
Oklahoma City,0.5853658536585366,1373211.0
Orlando,0.3048780487804878,2441257.0
Philadelphia,0.6341463414634146,6070500.0
Phoenix,0.25609756097560976,4661537.0
Portland,0.5975609756097561,2424955.0
Sacramento,0.32926829268292684,2296418.0
Salt Lake City,0.5853658536585366,1186187.0
San Antonio,0.573170731707317,2429609.0
San Francisco Bay Area,0.7073170731707317,6657982.0
Toronto,0.7195121951219512,5928040.0
"Washington, D.C.",0.524390243902439,6131977.0
