area,win_loss_ratio,pop
Boston,0.7142857142857143,4794447.0
Buffalo,0.35714285714285715,1132804.0
Calgary,0.5138888888888888,1392609.0
Chicago,0.4583333333333333,9512999.0
Columbus,0.6,2041520.0
Dallas–Fort Worth,0.5675675675675675,7233323.0
Denver,0.589041095890411,2853077.0
Detroit,0.43478260869565216,4297617.0
Edmonton,0.47368421052631576,1321426.0
Las Vegas,0.68,2155664.0
Los Angeles,0.622894633764199,13310447.0
Miami–Fort Lauderdale,0.5945945945945946,6066387.0
Minneapolis–Saint Paul,0.6338028169014085,3551036.0
Montreal,0.42028985507246375,4098927.0
Nashville,0.7464788732394366,1865298.0
New York City,0.5182014205986808,20153634.0
Ottawa,0.39436619718309857,1323783.0
Philadelphia,0.6176470588235294,6070500.0
Phoenix,0.4142857142857143,4661537.0
Pittsburgh,0.618421052631579,2342299.0
Raleigh,0.5070422535211268,1302946.0
San Francisco Bay Area,0.625,6657982.0
St. Louis,0.5789473684210527,2807002.0
Tampa Bay Area,0.7012987012987013,3032171.0
Toronto,0.6533333333333333,5928040.0
Vancouver,0.43661971830985913,2463431.0
"Washington, D.C.",0.6533333333333333,6131977.0
Winnipeg,0.7222222222222222,778489.0
