area,win_loss_ratio,pop
Atlanta,0.5555555555555556,5789700.0
Baltimore,0.29012345679012347,2798886.0
Boston,0.6666666666666666,4794447.0
Chicago,0.48276906763614325,9512999.0
Cincinnati,0.41358024691358025,2165139.0
Cleveland,0.5617283950617284,2055612.0
Dallas–Fort Worth,0.41358024691358025,7233323.0
Denver,0.558282208588957,2853077.0
Detroit,0.3950617283950617,4297617.0
Houston,0.6358024691358025,6772470.0
Kansas City,0.35802469135802467,2104509.0
Los Angeles,0.5291221692039687,13310447.0
Miami–Fort Lauderdale,0.391304347826087,6066387.0
Milwaukee,0.588957055214724,1572482.0
Minneapolis–Saint Paul,0.48148148148148145,3551036.0
New York City,0.5462962962962963,20153634.0
Philadelphia,0.49382716049382713,6070500.0
Phoenix,0.5061728395061729,4661537.0
Pittsburgh,0.5093167701863354,2342299.0
San Diego,0.4074074074074074,3317749.0
San Francisco Bay Area,0.5246913580246914,6657982.0
Seattle,0.5493827160493827,3798902.0
St. Louis,0.5432098765432098,2807002.0
Tampa Bay Area,0.5555555555555556,3032171.0
Toronto,0.4506172839506173,5928040.0
"Washington, D.C.",0.5061728395061729,6131977.0
